127.0.0.1 - - [02/Apr/2022:22:13:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2022:22:13:36 +0900] "GET /web/WEB-INF/views/home.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Apr/2022:22:13:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2022:22:14:17 +0900] "GET /web/page/one HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Apr/2022:22:14:27 +0900] "GET /web/index.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:22:14:28 +0900] "GET /web/login.do HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:43:32 +0900] "GET /web/index.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:43:59 +0900] "GET /web/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:43:59 +0900] "GET /web/login.do HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:46:09 +0900] "GET /web/index.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:46:09 +0900] "GET /web/index.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:46:19 +0900] "GET /web/index.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:55:54 +0900] "GET /web/home.do HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:55:56 +0900] "GET /web/login.do HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:00 +0900] "GET /web/join.do HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:03 +0900] "GET /web/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:03 +0900] "GET /web/login.do HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:13 +0900] "GET /web/login.do HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:16 +0900] "GET /web/join.do HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:18 +0900] "GET /web/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2022:23:56:18 +0900] "GET /web/login.do HTTP/1.1" 200 304
